,predicted_temp
327,16.1240234375
328,19.505859375
329,18.16796875
330,18.8046875
331,19.1826171875
332,19.466796875
333,-8724.2568359375
334,-357.822265625
335,-419.46044921875
336,9.9052734375
337,5.70654296875
338,21.8829345703125
339,21.82763671875
340,1.40185546875
341,12.17578125
342,20.93701171875
343,21.4638671875
344,35.6728515625
345,41.2989501953125
346,-760.4857635498047
347,24.8515625
348,21.25390625
349,13.5986328125
350,21.7939453125
351,23.2744140625
352,23.34375
353,20.990234375
354,21.511566162109375
355,21.1689453125
356,22.325439453125
357,22.154296875
358,21.51953125
359,21.544921875
360,21.6328125
361,21.828125
362,22.22265625
363,21.64453125
364,18.83203125
365,69.896484375
366,89.896484375
367,66.1484375
368,81.1015625
369,41.736328125
370,39.9375
371,21.44140625
372,13.767578125
373,11.033203125
374,8.60546875
375,5.75
376,7.1328125
377,12.42578125
378,13.3828125
379,16.60546875
380,20.52734375
381,22.4609375
382,23.37109375
383,23.58984375
384,24.33203125
385,24.79296875
386,22.7421875
387,22.142578125
388,21.337890625
389,22.27734375
390,22.130859375
391,21.365234375
392,22.431640625
393,21.62109375
394,21.802734375
395,20.59814453125
396,21.935546875
397,20.286376953125
398,21.123046875
399,19.9775390625
400,20.4697265625
401,21.1669921875
402,22.41015625
403,22.46875
404,22.779296875
405,20.21484375
406,19.986328125
407,16.01953125
408,14.8046875
409,18.4375
410,22.1328125
411,23.91015625
412,18.798828125
413,18.173828125
414,19.3388671875
415,18.04296875
416,18.490234375
417,18.48046875
418,16.66845703125
419,17.452865600585938
420,15.24029541015625
421,14.14886474609375
422,14.6297607421875
423,16.72705078125
424,18.3798828125
425,18.453125
426,19.28515625
427,18.2763671875
428,18.4287109375
429,18.662109375
430,19.74609375
431,19.34375
432,19.111328125
433,19.6015625
434,19.0625
435,19.4248046875
436,20.3359375
437,19.159912109375
438,20.34765625
439,22.1357421875
440,19.51171875
441,19.189697265625
442,20.501953125
443,20.611328125
444,21.20703125
445,20.71484375
446,20.45703125
447,20.34765625
448,20.767578125
449,20.804443359375
450,20.29638671875
451,19.4697265625
452,20.21875
453,22.40625
454,21.02734375
455,19.328125
456,19.984375
457,20.66015625
458,19.62890625
459,23.609375
460,18.916015625
461,20.91796875
462,21.06640625
463,21.375
464,21.47265625
465,21.662109375
466,20.80859375
467,19.3955078125
468,21.783203125
469,20.9296875
470,21.25
471,21.44921875
472,20.88671875
473,20.953125
474,20.978515625
475,20.908203125
476,20.02734375
477,19.853515625
478,19.95703125
479,19.69921875
480,19.470703125
481,20.443359375
482,19.138671875
483,19.076171875
484,19.0703125
485,17.439453125
486,16.060546875
487,16.89453125
488,15.6796875
489,19.494140625
490,19.93359375
491,18.33984375
492,18.806640625
493,-10.2587890625
494,-9.658203125
495,-8.453125
496,8.4677734375
497,5.6171875
498,4.947265625
499,7.8447265625
500,16.861328125
501,19.9375
502,20.71484375
503,17.99609375
504,20.68310546875
505,19.916015625
506,17.265625
507,18.4765625
508,19.29296875
509,18.763671875
510,16.988525390625
511,17.2315673828125
512,16.753173828125
513,14.091796875
514,13.60546875
515,16.15625
516,16.2119140625
517,16.51953125
518,16.90478515625
519,17.671875
520,17.07275390625
521,16.25634765625
522,17.9384765625
523,18.416015625
524,18.146484375
525,19.95703125
526,18.62109375
527,19.55859375
528,19.109375
529,18.79296875
530,19.3203125
531,19.65625
532,19.427734375
533,19.5703125
